Table S7. Ohnolog pairs identified using different outgroups,,,,,,,,,,,
Ohnolog1,chr_ohno1,Position1,Ohnolog2,chr_ohno2,Position2,C_int,C_sav,Amphi,Sea_u,Fly,Worm
ENSG00000130762,1,3361100,ENSG00000142632,1,16411691,None,None,None,Ohno,Ohno,None
ENSG00000173662,1,6538021,ENSG00000179002,1,19058742,None,None,None,None,Ohno,None
ENSG00000117298,1,21544584,ENSG00000142606,1,2554289,None,None,None,Ohno,None,None
ENSG00000117643,1,25816546,ENSG00000198162,1,117711594,None,Ohno,None,Ohno,Ohno,Ohno
ENSG00000158246,1,27211914,ENSG00000183508,1,117950127,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000171517,1,85104430,ENSG00000181773,1,27591739,Ohno,None,None,None,None,None
ENSG00000117519,1,95165294,ENSG00000158710,1,158161908,None,None,None,None,None,Ohno
ENSG00000170989,1,101475043,ENSG00000181773,1,27591739,Ohno,None,None,None,None,None
ENSG00000118733,1,102235136,ENSG00000162745,1,160260268,None,None,None,None,None,Ohno
ENSG00000134245,1,112810686,ENSG00000162552,1,22342106,Ohno,None,None,None,Ohno,None
ENSG00000118729,1,116112929,ENSG00000143318,1,158426989,None,Ohno,Ohno,None,None,Ohno
ENSG00000143140,1,145712108,ENSG00000198835,1,226404038,Ohno,None,None,None,None,None
ENSG00000121634,1,145841560,ENSG00000198835,1,226404038,Ohno,None,None,None,None,None
ENSG00000184678,1,148124826,ENSG00000196890,1,226712431,Ohno,None,None,None,None,None
ENSG00000018625,1,158349930,ENSG00000163399,1,116717405,None,Ohno,Ohno,None,None,Ohno
ENSG00000132681,1,158387976,ENSG00000163399,1,116717405,None,Ohno,Ohno,None,None,Ohno
ENSG00000162738,1,158636988,ENSG00000173218,1,115986097,None,None,None,None,None,Ohno
ENSG00000034971,1,169888434,ENSG00000118733,1,102235136,None,None,None,None,None,Ohno
ENSG00000184163,1,1171965,ENSG00000178752,2,238732362,None,None,Ohno,None,None,None
ENSG00000162572,1,1204310,ENSG00000072182,2,220087296,None,None,None,None,Ohno,None
ENSG00000142606,1,2554289,ENSG00000171551,2,233060782,Ohno,None,None,None,None,None
ENSG00000130762,1,3361100,ENSG00000066248,2,233586182,Ohno,Ohno,None,None,Ohno,None
ENSG00000187017,1,6407435,ENSG00000144488,2,238673690,None,None,Ohno,None,Ohno,None
ENSG00000049246,1,7766967,ENSG00000132326,2,238861946,None,None,Ohno,Ohno,Ohno,Ohno
ENSG00000054523,1,10193418,ENSG00000130294,2,241408310,None,Ohno,None,None,Ohno,Ohno
ENSG00000142634,1,15609020,ENSG00000115468,2,233179011,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000142627,1,16355151,ENSG00000116106,2,222147166,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000142632,1,16411691,ENSG00000066248,2,233586182,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000009709,1,18830087,ENSG00000135903,2,222871944,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000162551,1,21708445,ENSG00000163295,2,233029077,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000162551,1,21708445,ENSG00000163286,2,232979796,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000162551,1,21708445,ENSG00000163283,2,232951592,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000070886,1,22762591,ENSG00000116106,2,222147166,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000133216,1,22909918,ENSG00000116106,2,222147166,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000088280,1,23683285,ENSG00000151693,2,9264345,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000007968,1,23730300,ENSG00000169016,2,11523748,None,None,None,None,Ohno,Ohno
ENSG00000117318,1,23758570,ENSG00000115738,2,8736426,None,None,Ohno,None,None,None
ENSG00000158055,1,24513251,ENSG00000134317,2,10001257,None,None,None,Ohno,Ohno,Ohno
ENSG00000158014,1,26245191,ENSG00000115194,2,27339631,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000176092,1,26542929,ENSG00000163499,2,219566371,None,None,Ohno,None,None,None
ENSG00000175793,1,27062240,ENSG00000134308,2,9688557,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000162510,1,30969474,ENSG00000205221,2,36777411,None,None,None,None,None,Ohno
ENSG00000162512,1,31154067,ENSG00000115884,2,20288675,None,Ohno,None,None,Ohno,None
ENSG00000134644,1,31311350,ENSG00000055917,2,20413944,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000176261,1,32889120,ENSG00000172799,2,232007384,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000121905,1,33124685,ENSG00000115756,2,10360491,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000121905,1,33124685,ENSG00000163032,2,17583874,None,None,None,None,None,Ohno
ENSG00000142920,1,33319301,ENSG00000115758,2,10505904,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000092850,1,36322263,ENSG00000163060,2,94900959,None,None,None,None,None,Ohno
ENSG00000183317,1,38003411,ENSG00000116106,2,222147166,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000183386,1,38243821,ENSG00000115641,2,105421392,Ohno,Ohno,None,Ohno,None,None
ENSG00000185668,1,38285053,ENSG00000198914,2,104838401,Ohno,Ohno,None,Ohno,None,Ohno
ENSG00000116981,1,39910297,ENSG00000185013,2,18634319,Ohno,Ohno,Ohno,None,None,None
ENSG00000116983,1,39929676,ENSG00000163032,2,17583874,Ohno,None,None,None,None,Ohno
ENSG00000116983,1,39929676,ENSG00000115756,2,10360491,None,None,None,None,None,Ohno
ENSG00000116990,1,40140274,ENSG00000134323,2,15998134,None,None,None,Ohno,None,None
ENSG00000168389,1,40193407,ENSG00000205639,2,24086455,None,None,None,Ohno,None,None
ENSG00000117479,1,167721865,ENSG00000135917,2,228290989,None,None,None,None,None,Ohno
ENSG00000117601,1,172153096,ENSG00000135919,2,224612249,None,None,None,None,None,Ohno
ENSG00000162630,1,191422365,ENSG00000156966,2,231953837,None,None,None,None,Ohno,None
ENSG00000176393,1,200218389,ENSG00000142327,2,241156777,None,None,None,None,Ohno,None
ENSG00000143499,1,212521199,ENSG00000115593,2,88148496,None,None,None,Ohno,Ohno,Ohno
ENSG00000143632,1,227636468,ENSG00000163017,2,73973601,None,None,None,Ohno,Ohno,Ohno
ENSG00000185420,1,244737237,ENSG00000115593,2,88148496,None,None,None,Ohno,Ohno,None
ENSG00000187634,1,850393,ENSG00000187033,3,171112054,None,None,Ohno,Ohno,Ohno,None
ENSG00000188290,1,925333,ENSG00000114315,3,195336628,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000131584,1,1233132,ENSG00000114331,3,196645041,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000107404,1,1274623,ENSG00000161202,3,185355978,None,None,None,Ohno,Ohno,Ohno
ENSG00000221978,1,1324560,ENSG00000163660,3,158361176,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000078369,1,1812355,ENSG00000114450,3,180652065,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000067606,1,1971769,ENSG00000163558,3,171422906,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000157933,1,2149994,ENSG00000136603,3,171560178,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000149527,1,2397614,ENSG00000114805,3,156876522,None,None,None,Ohno,Ohno,None
ENSG00000142606,1,2554289,ENSG00000196549,3,156280882,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000142611,1,2975604,ENSG00000085276,3,170347054,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000130762,1,3361100,ENSG00000114790,3,155321884,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000158109,1,3531416,ENSG00000188001,3,190372457,None,None,Ohno,Ohno,None,None
ENSG00000078900,1,3558989,ENSG00000073282,3,190831910,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000069424,1,5974113,ENSG00000169282,3,157321095,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000116251,1,6182266,ENSG00000163584,3,172073165,None,None,None,None,Ohno,Ohno
ENSG00000069812,1,6407317,ENSG00000114315,3,195336628,None,None,None,None,None,Ohno
ENSG00000171621,1,9275571,ENSG00000175093,3,142252944,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000171612,1,9522115,ENSG00000114120,3,142143419,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000171608,1,9634377,ENSG00000121879,3,180349005,None,None,None,Ohno,Ohno,Ohno
ENSG00000171608,1,9634377,ENSG00000051382,3,139960875,Ohno,None,None,None,Ohno,Ohno
ENSG00000171603,1,9807137,ENSG00000158258,3,141136907,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000173614,1,9926073,ENSG00000163864,3,140879549,Ohno,Ohno,None,None,Ohno,Ohno
