Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSG00000164236	ENSG00000167612	ANKRD33B	ANKRD33	0.000159242441489151	1.32917014461443e-08	2	Vertebrata	protein_coding
ENSG00000147465	ENSG00000010270	STAR	STARD3NL	6.31395066697624e-05	0.000223045289433139	4	Vertebrata	protein_coding
ENSG00000095464	ENSG00000132915	PDE6C	PDE6A	1.29051835210194e-09	1.24964846820818e-13	1	Vertebrata	protein_coding
ENSG00000078804	ENSG00000164938	TP53INP2	TP53INP1	2.43121841132433e-06	3.37423162755284e-24	2	Vertebrata	protein_coding
ENSG00000155744	ENSG00000122591	FAM126B	FAM126A	1.89978610442351e-05	9.90333218512291e-34	3	Vertebrata	protein_coding
ENSG00000159217	ENSG00000136231	IGF2BP1	IGF2BP3	2.64002625584536e-09	6.93691880087463e-43	5	Vertebrata	protein_coding
ENSG00000185658	ENSG00000165288	BRWD1	BRWD3	6.30271066407404e-06	3.62828125590875e-20	3	Vertebrata	protein_coding
ENSG00000101972	ENSG00000118007	STAG2	STAG1	1.37286881195852e-07	3.49062161815808e-19	4	Vertebrata	protein_coding
ENSG00000077684	ENSG00000102221	JADE1	JADE3	3.66694708320279e-11	3.16380027730563e-12	4	Vertebrata	protein_coding
ENSG00000141380	ENSG00000008324	SS18	SS18L2	9.43167299312915e-06	5.6035419882006e-17	2	Vertebrata	protein_coding
ENSG00000137216	ENSG00000196187	TMEM63B	TMEM63A	1.52922919927309e-06	2.78725755602558e-08	2	Vertebrata	protein_coding
ENSG00000092345	ENSG00000152430	DAZL	BOLL	0.00847223101819345	3.74462193334915e-18	4	Vertebrata	protein_coding
ENSG00000133216	ENSG00000106123	EPHB2	EPHB6	9.8514016973144e-12	2.5021235482068e-14	4	Vertebrata	protein_coding
ENSG00000100242	ENSG00000164828	SUN2	SUN1	0.000179863543162219	8.82849201578677e-26	4	Vertebrata	protein_coding
ENSG00000149571	ENSG00000183853	KIRREL3	KIRREL	1.41536336373502e-05	4.47566697418718e-07	3	Vertebrata	protein_coding
ENSG00000128699	ENSG00000172057	ORMDL1	ORMDL3	1.63314064093583e-07	2.27047207841553e-24	3	Vertebrata	protein_coding
ENSG00000100433	ENSG00000082482	KCNK10	KCNK2	1.87434600866083e-07	2.33028227622373e-34	4	Vertebrata	protein_coding
ENSG00000050748	ENSG00000107643	MAPK9	MAPK8	9.19035933984727e-08	1.72342125083214e-19	4	Vertebrata	protein_coding
ENSG00000145244	ENSG00000178297	CORIN	TMPRSS9	0.00555209879494694	0.0063977822853523	1	Vertebrata	protein_coding
ENSG00000140873	ENSG00000145536	ADAMTS18	ADAMTS16	0.00109765992817871	1.13731791810282e-14	1	Vertebrata	protein_coding
ENSG00000113396	ENSG00000140284	SLC27A6	SLC27A2	0.00161161929648155	1.28438118690647e-14	3	Vertebrata	protein_coding
ENSG00000136811	ENSG00000122417	ODF2	ODF2L	3.96676256132141e-06	9.08277487690829e-35	2	Vertebrata	protein_coding
ENSG00000276023	ENSG00000189037	DUSP14	DUSP21	0.000100747841177812	1.32143090890691e-14	3	Vertebrata	protein_coding
ENSG00000181781	ENSG00000182950	ODF3L2	ODF3L1	0.00609422649848672	2.13913675238986e-05	4	Vertebrata	protein_coding
ENSG00000106123	ENSG00000135333	EPHB6	EPHA7	1.90288752014717e-05	0.000238564813837346	3	Vertebrata	protein_coding
